Variable Name,context,Item_content,Responses,Domain,Sub-Domain
EDDEP44,In the past 7 days,I felt upset for no reason,1 = Never 2 = Rarely 3 = Sometimes 4 = Often 5 = Always,Emotional Distress,Depression Items
EDDEP45,In the past 7 days,I felt that nothing was interesting,1 = Never 2 = Rarely 3 = Sometimes 4 = Often 5 = Always,Emotional Distress,Depression Items
EDDEP46,In the past 7 days,I felt pessimistic,1 = Never 2 = Rarely 3 = Sometimes 4 = Often 5 = Always,Emotional Distress,Depression Items
EDDEP47,In the past 7 days,I had trouble keeping my mind on what I was doing,1 = Never 2 = Rarely 3 = Sometimes 4 = Often 5 = Always,Emotional Distress,Depression Items
EDDEP48,In the past 7 days,I felt that my life was empty,1 = Never 2 = Rarely 3 = Sometimes 4 = Often 5 = Always,Emotional Distress,Depression Items
EDDEP49,In the past 7 days,I lost weight without trying,1 = Not at all 2 = A little bit 3 = Somewhat 4 = Quite a bit 5 = Very much,Emotional Distress,Depression Items
EDDEP50,In the past 7 days,I felt guilty,1 = Never 2 = Rarely 3 = Sometimes 4 = Often 5 = Always,Emotional Distress,Depression Items
EDDEP51,In the past 7 days,I lost interest in my appearance,1 = Never 2 = Rarely 3 = Sometimes 4 = Often 5 = Always,Emotional Distress,Depression Items
EDDEP52,In the past 7 days,I had trouble thinking clearly,1 = Never 2 = Rarely 3 = Sometimes 4 = Often 5 = Always,Emotional Distress,Depression Items
EDDEP53,In the past 7 days,I had little desire to eat,1 = Never 2 = Rarely 3 = Sometimes 4 = Often 5 = Always,Emotional Distress,Depression Items
EDDEP54,In the past 7 days,I felt emotionally exhausted,1 = Never 2 = Rarely 3 = Sometimes 4 = Often 5 = Always,Emotional Distress,Depression Items
EDDEP55,In the past 7 days,I felt like I needed help for my depression,1 = Never 2 = Rarely 3 = Sometimes 4 = Often 5 = Always,Emotional Distress,Depression Items
EDDEP56,In the past 7 days,I had trouble enjoying things that I used to enjoy,1 = Never 2 = Rarely 3 = Sometimes 4 = Often 5 = Always,Emotional Distress,Depression Items
FATEXP1,In the past 7 days,How often did the level of your fatigue change from day to day?,1 = Never 2 = Rarely 3 = Sometimes 4 = Often 5 = Always,Fatigue,Fatigue Experience Items
FATEXP2,In the past 7 days,How often did you feel run-down?,1 = Never 2 = Rarely 3 = Sometimes 4 = Often 5 = Always,Fatigue,Fatigue Experience Items
FATEXP3,In the past 7 days,How often did you feel energetic when you woke up?,5 = Never 4 = Rarely 3 = Sometimes 2 = Often 1 = Always,Fatigue,Fatigue Experience Items
FATEXP4,In the past 7 days,How often were you bushed?,1 = Never 2 = Rarely 3 = Sometimes 4 = Often 5 = Always,Fatigue,Fatigue Experience Items
FATEXP5,In the past 7 days,How often did you experience extreme exhaustion?,1 = Never 2 = Rarely 3 = Sometimes 4 = Often 5 = Always,Fatigue,Fatigue Experience Items
FATEXP6,In the past 7 days,How often did you feel tired even when you hadn't done anything?,1 = Never 2 = Rarely 3 = Sometimes 4 = Often 5 = Always,Fatigue,Fatigue Experience Items
FATEXP7,In the past 7 days,How often did you feel your fatigue was beyond your control?,1 = Never 2 = Rarely 3 = Sometimes 4 = Often 5 = Always,Fatigue,Fatigue Experience Items
FATEXP8,In the past 7 days,On how many days were you fatigued?,1 = None 2 = 1 day 3 = 2-3 days 4 = 4-5 days 5 = 6-7 days,Fatigue,Fatigue Experience Items
FATEXP9,In the past 7 days,On how many days did you wake up feeling exhausted?,1 = None 2 = 1 day 3 = 2-3 days 4 = 4-5 days 5 = 6-7 days,Fatigue,Fatigue Experience Items
FATEXP10,In the past 7 days,On how many days was your fatigue worse in the afternoon?,1 = None 2 = 1 day 3 = 2-3 days 4 = 4-5 days 5 = 6-7 days,Fatigue,Fatigue Experience Items
FATEXP11,In the past 7 days,How much physical energy did you have on average?,5 = None 4 = A little bit 3 = Somewhat 2 = Quite a bit 1 = Very much,Fatigue,Fatigue Experience Items
FATEXP12,In the past 7 days,To what degree did you feel tired even when you hadn't done anything?,1 = Not at all 2 = A little bit 3 = Somewhat 4 = Quite a bit 5 = Very much,Fatigue,Fatigue Experience Items
FATEXP13,In the past 7 days,How bushed were you on average?,1 = Not at all 2 = A little bit 3 = Somewhat 4 = Quite a bit 5 = Very much,Fatigue,Fatigue Experience Items
FATEXP14,In the past 7 days,How worn out did you feel on average?,1 = Not at all 2 = A little bit 3 = Somewhat 4 = Quite a bit 5 = Very much,Fatigue,Fatigue Experience Items
FATEXP15,In the past 7 days,How often did you feel refreshed after waking up?,5 = Never 4 = Rarely 3 = Sometimes 2 = Often 1 = Always,Fatigue,Fatigue Experience Items
FATEXP16,In the past 7 days,How often were you sluggish?,1 = Never 2 = Rarely 3 = Sometimes 4 = Often 5 = Always,Fatigue,Fatigue Experience Items
FATEXP17,In the past 7 days,How often were you emotionally exhausted?,1 = Never 2 = Rarely 3 = Sometimes 4 = Often 5 = Always,Fatigue,Fatigue Experience Items
FATEXP18,In the past 7 days,How often did you run out of energy?,1 = Never 2 = Rarely 3 = Sometimes 4 = Often 5 = Always,Fatigue,Fatigue Experience Items
FATEXP19,In the past 7 days,How often were you physically drained?,1 = Never 2 = Rarely 3 = Sometimes 4 = Often 5 = Always,Fatigue,Fatigue Experience Items
FATEXP20,In the past 7 days,How often did you feel tired?,1 = Never 2 = Rarely 3 = Sometimes 4 = Often 5 = Always,Fatigue,Fatigue Experience Items
FATEXP21,In the past 7 days,How fatigued were you when your fatigue was at its worst?,1 = Not at all 2 = A little bit 3 = Somewhat 4 = Quite a bit 5 = Very much,Fatigue,Fatigue Experience Items
FATEXP22,In the past 7 days,How often were you bothered by your fatigue?,1 = Never 2 = Rarely 3 = Sometimes 4 = Often 5 = Always,Fatigue,Fatigue Experience Items
FATEXP23,In the past 7 days,How often did you have enough energy to enjoy life?,5 = Never 4 = Rarely 3 = Sometimes 2 = Often 1 = Always,Fatigue,Fatigue Experience Items
FATEXP24,In the past 7 days,How often did you have enough energy to enjoy the things you do for fun?,5 = Never 4 = Rarely 3 = Sometimes 2 = Often 1 = Always,Fatigue,Fatigue Experience Items
FATEXP25,In the past 7 days,How often did you have enough energy to get through the day without resting?,5 = Never 4 = Rarely 3 = Sometimes 2 = Often 1 = Always,Fatigue,Fatigue Experience Items
FATEXP26,In the past 7 days,How often were you too tired to enjoy life?,1 = Never 2 = Rarely 3 = Sometimes 4 = Often 5 = Always,Fatigue,Fatigue Experience Items
FATEXP27,In the past 7 days,How often were you so tired that you needed to rest during the day?,1 = Never 2 = Rarely 3 = Sometimes 4 = Often 5 = Always,Fatigue,Fatigue Experience Items
FATEXP28,In the past 7 days,How often were you too tired to feel happy?,1 = Never 2 = Rarely 3 = Sometimes 4 = Often 5 = Always,Fatigue,Fatigue Experience Items
FATEXP29,In the past 7 days,How often did you feel totally drained?,1 = Never 2 = Rarely 3 = Sometimes 4 = Often 5 = Always,Fatigue,Fatigue Experience Items
FATEXP30,In the past 7 days,How often did you know when your fatigue was going to occur during the day?,1 = Never 2 = Rarely 3 = Sometimes 4 = Often 5 = Always,Fatigue,Fatigue Experience Items
FATEXP31,In the past 7 days,How often were you energetic?,5 = Never 4 = Rarely 3 = Sometimes 2 = Often 1 = Always,Fatigue,Fatigue Experience Items
FATEXP32,In the past 7 days,How often did you feel worn out?,1 = Never 2 = Rarely 3 = Sometimes 4 = Often 5 = Always,Fatigue,Fatigue Experience Items
FATEXP33,In the past 7 days,How emotionally exhausted were you on average?,1 = Not at all 2 = A little bit 3 = Somewhat 4 = Quite a bit 5 = Very much,Fatigue,Fatigue Experience Items
FATEXP34,In the past 7 days,How tired did you feel on average?,1 = Not at all 2 = A little bit 3 = Somewhat 4 = Quite a bit 5 = Very much,Fatigue,Fatigue Experience Items
FATEXP35,In the past 7 days,How much were you bothered by your fatigue on average?,1 = Not at all 2 = A little bit 3 = Somewhat 4 = Quite a bit 5 = Very much,Fatigue,Fatigue Experience Items
FATEXP36,In the past 7 days,How exhausted were you on average?,1 = Not at all 2 = A little bit 3 = Somewhat 4 = Quite a bit 5 = Very much,Fatigue,Fatigue Experience Items
FATEXP37,In the past 7 days,How energetic did you feel when you woke up?,5 = Not at all 4 = A little bit 3 = Somewhat 2 = Quite a bit 1 = Very much,Fatigue,Fatigue Experience Items
FATEXP38,In the past 7 days,How fatigued were you on the day you felt most fatigued?,1 = Not at all 2 = A little bit 3 = Somewhat 4 = Quite a bit 5 = Very much,Fatigue,Fatigue Experience Items
FATEXP39,In the past 7 days,To what degree did you know when your fatigue was going to occur during the day?,1 = Not at all 2 = A little bit 3 = Somewhat 4 = Quite a bit 5 = Very much,Fatigue,Fatigue Experience Items
FATEXP40,In the past 7 days,How fatigued were you on average?,1 = Not at all 2 = A little bit 3 = Somewhat 4 = Quite a bit 5 = Very much,Fatigue,Fatigue Experience Items
FATEXP41,In the past 7 days,How run-down did you feel on average?,1 = Not at all 2 = A little bit 3 = Somewhat 4 = Quite a bit 5 = Very much,Fatigue,Fatigue Experience Items
FATEXP42,In the past 7 days,How much mental energy did you have on average?,5 = Not at all 4 = A little bit 3 = Somewhat 2 = Quite a bit 1 = Very much,Fatigue,Fatigue Experience Items
FATEXP43,In the past 7 days,How physically drained were you on average?,1 = Not at all 2 = A little bit 3 = Somewhat 4 = Quite a bit 5 = Very much,Fatigue,Fatigue Experience Items
FATEXP44,In the past 7 days,How energetic were you on average?,5 = Not at all 4 = A little bit 3 = Somewhat 2 = Quite a bit 1 = Very much,Fatigue,Fatigue Experience Items
FATEXP45,In the past 7 days,How sluggish were you on average?,1 = Not at all 2 = A little bit 3 = Somewhat 4 = Quite a bit 5 = Very much,Fatigue,Fatigue Experience Items
FATEXP46,In the past 7 days,On how many days was your fatigue worse in the morning?,1 = None 2 = 1 day 3 = 2-3 days 4 = 4-5 days 5 = 6-7 days,Fatigue,Fatigue Experience Items
FATEXP47,In the past 7 days,On how many days were you wiped out?,1 = None 2 = 1 day 3 = 2-3 days 4 = 4-5 days 5 = 6-7 days,Fatigue,Fatigue Experience Items
FATEXP48,In the past 7 days,How often did you find yourself getting tired easily?,1 = Never 2 = Rarely 3 = Sometimes 4 = Often 5 = Always,Fatigue,Fatigue Experience Items
FATEXP49,In the past 7 days,How often did you think about your fatigue?,1 = Never 2 = Rarely 3 = Sometimes 4 = Often 5 = Always,Fatigue,Fatigue Experience Items
FATEXP50,In the past 7 days,How fatigued were you on the day you felt least fatigued?,1 = Not at all 2 = A little bit 3 = Somewhat 4 = Quite a bit 5 = Very much,Fatigue,Fatigue Experience Items
FATEXP51,In the past 7 days,How easily did you find yourself getting tired on average?,1 = Not at all 2 = A little bit 3 = Somewhat 4 = Quite a bit 5 = Very much,Fatigue,Fatigue Experience Items
FATEXP52,In the past 7 days,How wiped out were you on average?,1 = Not at all 2 = A little bit 3 = Somewhat 4 = Quite a bit 5 = Very much,Fatigue,Fatigue Experience Items
FATEXP53,In the past 7 days,How refreshed did you feel after waking up?,5 = Not at all 4 = A little bit 3 = Somewhat 2 = Quite a bit 1 = Very much,Fatigue,Fatigue Experience Items
FATEXP54,In the past 7 days,How often did you have physical energy?,5 = Never 4 = Rarely 3 = Sometimes 2 = Often 1 = Always,Fatigue,Fatigue Experience Items
FATEXP55,In the past 7 days,How often were you exhausted?,1 = Never 2 = Rarely 3 = Sometimes 4 = Often 5 = Always,Fatigue,Fatigue Experience Items
FATEXP56,In the past 7 days,What was the level of your fatigue on most days?,1 = None 2 = Mild 3 = Moderate 4 = Severe 5 = Very Severe,Fatigue,Fatigue Experience Items
FATIMP1,In the past 7 days,To what degree did you have to push yourself to get things done because of your fatigue?,1 = Not at all 2 = A little bit 3 = Somewhat 4 = Quite a bit 5 = Very much,Fatigue,Fatigue Impact Items
FATIMP2,In the past 7 days,To what degree did your fatigue make you feel slowed down in your thinking?,1 = Not at all 2 = A little bit 3 = Somewhat 4 = Quite a bit 5 = Very much,Fatigue,Fatigue Impact Items
FATIMP3,In the past 7 days,How often did you have to push yourself to get things done because of your fatigue?,1 = Never 2 = Rarely 3 = Sometimes 4 = Often 5 = Always,Fatigue,Fatigue Impact Items
FATIMP4,In the past 7 days,How often did your fatigue interfere with your social activities?,1 = Never 2 = Rarely 3 = Sometimes 4 = Often 5 = Always,Fatigue,Fatigue Impact Items
FATIMP5,In the past 7 days,How often were you less effective at work due to your fatigue (include work at home)?,1 = Never 2 = Rarely 3 = Sometimes 4 = Often 5 = Always,Fatigue,Fatigue Impact Items
FATIMP6,In the past 7 days,How often did your fatigue make you feel slowed down in your thinking?,1 = Never 2 = Rarely 3 = Sometimes 4 = Often 5 = Always,Fatigue,Fatigue Impact Items
FATIMP7,In the past 7 days,How often were you too tired to eat?,1 = Never 2 = Rarely 3 = Sometimes 4 = Often 5 = Always,Fatigue,Fatigue Impact Items
FATIMP8,In the past 7 days,How often were you too tired to watch television?,1 = Never 2 = Rarely 3 = Sometimes 4 = Often 5 = Always,Fatigue,Fatigue Impact Items
FATIMP9,In the past 7 days,How often did your fatigue make it difficult to plan activities ahead of time?,1 = Never 2 = Rarely 3 = Sometimes 4 = Often 5 = Always,Fatigue,Fatigue Impact Items
FATIMP10,In the past 7 days,How often did your fatigue make it difficult to start anything new?,1 = Never 2 = Rarely 3 = Sometimes 4 = Often 5 = Always,Fatigue,Fatigue Impact Items
FATIMP11,In the past 7 days,How often did your fatigue make you more forgetful?,1 = Never 2 = Rarely 3 = Sometimes 4 = Often 5 = Always,Fatigue,Fatigue Impact Items
FATIMP12,In the past 7 days,How often did your fatigue interfere with your physical functioning?,1 = Never 2 = Rarely 3 = Sometimes 4 = Often 5 = Always,Fatigue,Fatigue Impact Items
FATIMP13,In the past 7 days,How often were you too tired to do errands?,1 = Never 2 = Rarely 3 = Sometimes 4 = Often 5 = Always,Fatigue,Fatigue Impact Items
FATIMP14,In the past 7 days,How often did your fatigue make it difficult to organize your thoughts when doing things at work (include work at home)?,1 = Never 2 = Rarely 3 = Sometimes 4 = Often 5 = Always,Fatigue,Fatigue Impact Items
FATIMP15,In the past 7 days,How often did your fatigue interfere with your ability to engage in recreational activities?,1 = Never 2 = Rarely 3 = Sometimes 4 = Often 5 = Always,Fatigue,Fatigue Impact Items
FATIMP16,In the past 7 days,How often did you have trouble finishing things because of your fatigue?,1 = Never 2 = Rarely 3 = Sometimes 4 = Often 5 = Always,Fatigue,Fatigue Impact Items
FATIMP17,In the past 7 days,How often did your fatigue make it difficult to make decisions?,1 = Never 2 = Rarely 3 = Sometimes 4 = Often 5 = Always,Fatigue,Fatigue Impact Items
FATIMP18,In the past 7 days,How often did you have to limit your social activities because of your fatigue?,1 = Never 2 = Rarely 3 = Sometimes 4 = Often 5 = Always,Fatigue,Fatigue Impact Items
FATIMP19,In the past 7 days,How often were you too tired to do your household chores?,1 = Never 2 = Rarely 3 = Sometimes 4 = Often 5 = Always,Fatigue,Fatigue Impact Items
FATIMP20,In the past 7 days,How often did your fatigue make you feel less alert?,1 = Never 2 = Rarely 3 = Sometimes 4 = Often 5 = Always,Fatigue,Fatigue Impact Items
FATIMP21,In the past 7 days,How often were you too tired to take a bath or shower?,1 = Never 2 = Rarely 3 = Sometimes 4 = Often 5 = Always,Fatigue,Fatigue Impact Items
FATIMP22,In the past 7 days,How often did your fatigue make it difficult to organize your thoughts when doing things at home?,1 = Never 2 = Rarely 3 = Sometimes 4 = Often 5 = Always,Fatigue,Fatigue Impact Items
FATIMP23,In the past 7 days,How often did you have enough energy to concentrate?,5 = Never 4 = Rarely 3 = Sometimes 2 = Often 1 = Always,Fatigue,Fatigue Impact Items
FATIMP24,In the past 7 days,How often did you have trouble starting things because of your fatigue?,1 = Never 2 = Rarely 3 = Sometimes 4 = Often 5 = Always,Fatigue,Fatigue Impact Items
FATIMP25,In the past 7 days,How often was it an effort to carry on a conversation because of your fatigue?,1 = Never 2 = Rarely 3 = Sometimes 4 = Often 5 = Always,Fatigue,Fatigue Impact Items
FATIMP26,In the past 7 days,How often were you too tired to socialize with your family?,1 = Never 2 = Rarely 3 = Sometimes 4 = Often 5 = Always,Fatigue,Fatigue Impact Items
FATIMP27,In the past 7 days,To what degree did you have trouble starting things because of your fatigue?,1 = Not at all 2 = A little bit 3 = Somewhat 4 = Quite a bit 5 = Very much,Fatigue,Fatigue Impact Items
FATIMP28,In the past 7 days,How hard was it for you to carry on a conversation because of your fatigue?,1 = Not at all 2 = A little bit 3 = Somewhat 4 = Quite a bit 5 = Very much,Fatigue,Fatigue Impact Items
FATIMP29,In the past 7 days,How often were you too tired to leave the house?,1 = Never 2 = Rarely 3 = Sometimes 4 = Often 5 = Always,Fatigue,Fatigue Impact Items
FATIMP30,In the past 7 days,How often were you too tired to think clearly?,1 = Never 2 = Rarely 3 = Sometimes 4 = Often 5 = Always,Fatigue,Fatigue Impact Items
FATIMP31,In the past 7 days,How often did you need to rest during the day?,1 = Never 2 = Rarely 3 = Sometimes 4 = Often 5 = Always,Fatigue,Fatigue Impact Items
FATIMP32,In the past 7 days,How often did you have enough energy to do the things you wanted to do?,5 = Never 4 = Rarely 3 = Sometimes 2 = Often 1 = Always,Fatigue,Fatigue Impact Items
FATIMP33,In the past 7 days,How often did your fatigue limit you at work (include work at home)?,1 = Never 2 = Rarely 3 = Sometimes 4 = Often 5 = Always,Fatigue,Fatigue Impact Items
FATIMP34,In the past 7 days,To what degree did you have to limit your social activities because of your fatigue?,1 = Not at all 2 = A little bit 3 = Somewhat 4 = Quite a bit 5 = Very much,Fatigue,Fatigue Impact Items
FATIMP35,In the past 7 days,To what degree did your fatigue make it difficult to organize your thoughts when doing things at home?,1 = Not at all 2 = A little bit 3 = Somewhat 4 = Quite a bit 5 = Very much,Fatigue,Fatigue Impact Items
FATIMP36,In the past 7 days,To what degree did your fatigue make it difficult to start anything new?,1 = Not at all 2 = A little bit 3 = Somewhat 4 = Quite a bit 5 = Very much,Fatigue,Fatigue Impact Items
FATIMP37,In the past 7 days,Due to your fatigue were you less effective at work (include work at home)?,1 = Not at all 2 = A little bit 3 = Somewhat 4 = Quite a bit 5 = Very much,Fatigue,Fatigue Impact Items
FATIMP38,In the past 7 days,To what degree did your fatigue make it difficult to make decisions?,1 = Not at all 2 = A little bit 3 = Somewhat 4 = Quite a bit 5 = Very much,Fatigue,Fatigue Impact Items
FATIMP39,In the past 7 days,How often were you too tired to read?,1 = Never 2 = Rarely 3 = Sometimes 4 = Often 5 = Always,Fatigue,Fatigue Impact Items
FATIMP40,In the past 7 days,How often did you have enough energy to exercise strenuously?,5 = Never 4 = Rarely 3 = Sometimes 2 = Often 1 = Always,Fatigue,Fatigue Impact Items
FATIMP41,In the past 7 days,How often did you have enough energy to exercise moderately?,5 = Never 4 = Rarely 3 = Sometimes 2 = Often 1 = Always,Fatigue,Fatigue Impact Items
FATIMP42,In the past 7 days,How often were you less effective at home due to your fatigue?,1 = Never 2 = Rarely 3 = Sometimes 4 = Often 5 = Always,Fatigue,Fatigue Impact Items
FATIMP43,In the past 7 days,To what degree did your fatigue make it difficult to organize your thoughts when doing things at work (include work at home)?,1 = Not at all 2 = A little bit 3 = Somewhat 4 = Quite a bit 5 = Very much,Fatigue,Fatigue Impact Items
FATIMP44,In the past 7 days,To what degree did your fatigue make you more forgetful?,1 = Not at all 2 = A little bit 3 = Somewhat 4 = Quite a bit 5 = Very much,Fatigue,Fatigue Impact Items
FATIMP45,In the past 7 days,To what degree did your fatigue interfere with your ability to engage in recreational activities?,1 = Not at all 2 = A little bit 3 = Somewhat 4 = Quite a bit 5 = Very much,Fatigue,Fatigue Impact Items
FATIMP46,In the past 7 days,How much did your fatigue limit you at work (include work at home)?,1 = Not at all 2 = A little bit 3 = Somewhat 4 = Quite a bit 5 = Very much,Fatigue,Fatigue Impact Items
FATIMP47,In the past 7 days,To what degree did you have to force yourself to get up and do things because of your fatigue?,1 = Not at all 2 = A little bit 3 = Somewhat 4 = Quite a bit 5 = Very much,Fatigue,Fatigue Impact Items
FATIMP48,In the past 7 days,To what degree did your fatigue interfere with your social activities?,1 = Not at all 2 = A little bit 3 = Somewhat 4 = Quite a bit 5 = Very much,Fatigue,Fatigue Impact Items
FATIMP49,In the past 7 days,To what degree did your fatigue interfere with your physical functioning?,1 = Not at all 2 = A little bit 3 = Somewhat 4 = Quite a bit 5 = Very much,Fatigue,Fatigue Impact Items
FATIMP50,In the past 7 days,Did fatigue make you less effective at home?,1 = Not at all 2 = A little bit 3 = Somewhat 4 = Quite a bit 5 = Very much,Fatigue,Fatigue Impact Items
FATIMP51,In the past 7 days,To what degree did you have trouble finishing things because of your fatigue?,1 = Not at all 2 = A little bit 3 = Somewhat 4 = Quite a bit 5 = Very much,Fatigue,Fatigue Impact Items
FATIMP52,In the past 7 days,To what degree did your fatigue make you feel less alert?,1 = Not at all 2 = A little bit 3 = Somewhat 4 = Quite a bit 5 = Very much,Fatigue,Fatigue Impact Items
FATIMP53,In the past 7 days,How often were you too tired to take a short walk?,1 = Never 2 = Rarely 3 = Sometimes 4 = Often 5 = Always,Fatigue,Fatigue Impact Items
FATIMP54,In the past 7 days,How often did you have enough energy to read?,5 = Never 4 = Rarely 3 = Sometimes 2 = Often 1 = Always,Fatigue,Fatigue Impact Items
FATIMP55,In the past 7 days,How often did you have to force yourself to get up and do things because of your fatigue?,1 = Never 2 = Rarely 3 = Sometimes 4 = Often 5 = Always,Fatigue,Fatigue Impact Items
FATIMP56,In the past 7 days,How often were you too tired to socialize with your friends?,1 = Never 2 = Rarely 3 = Sometimes 4 = Often 5 = Always,Fatigue,Fatigue Impact Items
PAINBE1,In the past 7 days,When I was in pain I walked with a limp or distorted gait,1 = Had no pain 2 = Never 3 = Rarely 4 = Sometimes 5 = Often 6 = Always,Pain,Behavior Items
PAINBE2,In the past 7 days,When I was in pain I became irritable,1 = Had no pain 2 = Never 3 = Rarely 4 = Sometimes 5 = Often 6 = Always,Pain,Behavior Items
PAINBE3,In the past 7 days,When I was in pain I grimaced,1 = Had no pain 2 = Never 3 = Rarely 4 = Sometimes 5 = Often 6 = Always,Pain,Behavior Items
PAINBE4,In the past 7 days,When I was in pain I took medication for the pain,1 = Had no pain 2 = Never 3 = Rarely 4 = Sometimes 5 = Often 6 = Always,Pain,Behavior Items
PAINBE5,In the past 7 days,When I was in pain I talked about the pain,1 = Had no pain 2 = Never 3 = Rarely 4 = Sometimes 5 = Often 6 = Always,Pain,Behavior Items
PAINBE6,In the past 7 days,When I was in pain I would lie down,1 = Had no pain 2 = Never 3 = Rarely 4 = Sometimes 5 = Often 6 = Always,Pain,Behavior Items
PAINBE7,In the past 7 days,When I was in pain I rubbed the site of pain,1 = Had no pain 2 = Never 3 = Rarely 4 = Sometimes 5 = Often 6 = Always,Pain,Behavior Items
PAINBE8,In the past 7 days,When I was in pain I moved extremely slowly,1 = Had no pain 2 = Never 3 = Rarely 4 = Sometimes 5 = Often 6 = Always,Pain,Behavior Items
PAINBE9,In the past 7 days,When I was in pain I became angry,1 = Had no pain 2 = Never 3 = Rarely 4 = Sometimes 5 = Often 6 = Always,Pain,Behavior Items
PAINBE10,In the past 7 days,I had minor aches and pains,1 = Had no pain 2 = Never 3 = Rarely 4 = Sometimes 5 = Often 6 = Always,Pain,Behavior Items
PAINBE11,In the past 7 days,When I was in pain I clenched my teeth,1 = Had no pain 2 = Never 3 = Rarely 4 = Sometimes 5 = Often 6 = Always,Pain,Behavior Items
PAINBE12,In the past 7 days,When I was in pain I clutched the part that hurt,1 = Had no pain 2 = Never 3 = Rarely 4 = Sometimes 5 = Often 6 = Always,Pain,Behavior Items
PAINBE13,In the past 7 days,When I was in pain I tried to stay very still,1 = Had no pain 2 = Never 3 = Rarely 4 = Sometimes 5 = Often 6 = Always,Pain,Behavior Items
PAINBE14,In the past 7 days,I had soreness after moderate physical activity,1 = Had no pain 2 = Never 3 = Rarely 4 = Sometimes 5 = Often 6 = Always,Pain,Behavior Items
PAINBE15,In the past 7 days,When I was in pain I walked carefully to keep from making my pain worse,1 = Had no pain 2 = Never 3 = Rarely 4 = Sometimes 5 = Often 6 = Always,Pain,Behavior Items
PAINBE16,In the past 7 days,When I was in pain I appeared upset or sad,1 = Had no pain 2 = Never 3 = Rarely 4 = Sometimes 5 = Often 6 = Always,Pain,Behavior Items
PAINBE17,In the past 7 days,When I was in pain I gasped,1 = Had no pain 2 = Never 3 = Rarely 4 = Sometimes 5 = Often 6 = Always,Pain,Behavior Items
PAINBE18,In the past 7 days,When I was in pain I asked for help doing things that needed to be done,1 = Had no pain 2 = Never 3 = Rarely 4 = Sometimes 5 = Often 6 = Always,Pain,Behavior Items
PAINBE19,In the past 7 days,When I was in pain I tried to get relief by changing my posture,1 = Had no pain 2 = Never 3 = Rarely 4 = Sometimes 5 = Often 6 = Always,Pain,Behavior Items
PAINBE20,In the past 7 days,When I was in pain I gave a detailed description of the pain to others,1 = Had no pain 2 = Never 3 = Rarely 4 = Sometimes 5 = Often 6 = Always,Pain,Behavior Items
PAINBE21,In the past 7 days,"When I was in pain it showed on my face (squinching eyes, opening eyes wide, frowning)",1 = Had no pain 2 = Never 3 = Rarely 4 = Sometimes 5 = Often 6 = Always,Pain,Behavior Items
PAINBE22,In the past 7 days,Pain caused me to bend over while walking,1 = Had no pain 2 = Never 3 = Rarely 4 = Sometimes 5 = Often 6 = Always,Pain,Behavior Items
PAINBE23,In the past 7 days,When I was in pain I asked one or more people to leave me alone,1 = Had no pain 2 = Never 3 = Rarely 4 = Sometimes 5 = Often 6 = Always,Pain,Behavior Items
PAINBE24,In the past 7 days,When I was in pain I moved stiffly,1 = Had no pain 2 = Never 3 = Rarely 4 = Sometimes 5 = Often 6 = Always,Pain,Behavior Items
PAINBE25,In the past 7 days,When I was in pain I called out for someone to help me,1 = Had no pain 2 = Never 3 = Rarely 4 = Sometimes 5 = Often 6 = Always,Pain,Behavior Items
PAINBE26,In the past 7 days,Pain caused me to curl up in a ball,1 = Had no pain 2 = Never 3 = Rarely 4 = Sometimes 5 = Often 6 = Always,Pain,Behavior Items
PAINBE27,In the past 7 days,I had pain so bad it made me cry,1 = Had no pain 2 = Never 3 = Rarely 4 = Sometimes 5 = Often 6 = Always,Pain,Behavior Items
PAINBE28,In the past 7 days,When I was in pain I squirmed,1 = Had no pain 2 = Never 3 = Rarely 4 = Sometimes 5 = Often 6 = Always,Pain,Behavior Items
PAINBE29,In the past 7 days,When I was in pain I used a cane or something else for support,1 = Had no pain 2 = Never 3 = Rarely 4 = Sometimes 5 = Often 6 = Always,Pain,Behavior Items
PAINBE30,In the past 7 days,When I was in pain I talked about the pain with one or more people,1 = Had no pain 2 = Never 3 = Rarely 4 = Sometimes 5 = Often 6 = Always,Pain,Behavior Items
PAINBE31,In the past 7 days,I limped because of pain,1 = Had no pain 2 = Never 3 = Rarely 4 = Sometimes 5 = Often 6 = Always,Pain,Behavior Items
PAINBE32,In the past 7 days,When I was in pain I became quiet and withdrawn,1 = Had no pain 2 = Never 3 = Rarely 4 = Sometimes 5 = Often 6 = Always,Pain,Behavior Items
PAINBE33,In the past 7 days,When I was in pain I frowned,1 = Had no pain 2 = Never 3 = Rarely 4 = Sometimes 5 = Often 6 = Always,Pain,Behavior Items
PAINBE34,In the past 7 days,When I was in pain I asked for help when walking or changing positions,1 = Had no pain 2 = Never 3 = Rarely 4 = Sometimes 5 = Often 6 = Always,Pain,Behavior Items
PAINBE35,In the past 7 days,When I was in pain I groaned,1 = Had no pain 2 = Never 3 = Rarely 4 = Sometimes 5 = Often 6 = Always,Pain,Behavior Items
PAINBE36,In the past 7 days,When I was in pain I walked in a way that protected me from the pain,1 = Had no pain 2 = Never 3 = Rarely 4 = Sometimes 5 = Often 6 = Always,Pain,Behavior Items
PAINBE37,In the past 7 days,When I was in pain I isolated myself from others,1 = Had no pain 2 = Never 3 = Rarely 4 = Sometimes 5 = Often 6 = Always,Pain,Behavior Items
